=== Parameters ===
Model Params:	32.79 [million]
=== Dataset ===
Batch size: 128
Train data:
Batches:	469

[ Started training ]

Step 1: (loss: 1.110600471496582, loss_fm: 1.110600471496582, loss_sc: 0.0, lr: 1.9989000574955988e-07)
Step 2501: (loss: 0.10918094962835312, loss_fm: 0.10824602097272873, loss_sc: 0.0009349294705316424, lr: 8.212136472311416e-05)
Step 2601: (loss: 0.1176236942410469, loss_fm: 0.1141427755355835, loss_sc: 0.0034809212666004896, lr: 8.248880290965216e-05)
Step 2701: (loss: 0.11895037442445755, loss_fm: 0.11612654477357864, loss_sc: 0.0028238326776772738, lr: 8.2788822367249e-05)
Step 2801: (loss: 0.11264578253030777, loss_fm: 0.10976145416498184, loss_sc: 0.002884326735511422, lr: 8.302845745173087e-05)
Step 2901: (loss: 0.11924723535776138, loss_fm: 0.11745382100343704, loss_sc: 0.0017934116767719388, lr: 8.321403526088691e-05)
Step 3001: (loss: 0.10915043205022812, loss_fm: 0.10656138509511948, loss_sc: 0.0025890448596328497, lr: 8.335124656438011e-05)
Step 3101: (loss: 0.10500634461641312, loss_fm: 0.10388047993183136, loss_sc: 0.0011258679442107677, lr: 8.344520959855426e-05)
Step 3201: (loss: 0.0973394587635994, loss_fm: 0.09585390985012054, loss_sc: 0.0014855513582006097, lr: 8.350052744732355e-05)
Step 3301: (loss: 0.10438766330480576, loss_fm: 0.10247309505939484, loss_sc: 0.0019145708065479994, lr: 8.352133965700333e-05)
Step 3401: (loss: 0.112443707883358, loss_fm: 0.1105901300907135, loss_sc: 0.0018535807030275464, lr: 8.351136866712316e-05)
Step 3501: (loss: 0.08900613337755203, loss_fm: 0.08641483634710312, loss_sc: 0.0025912970304489136, lr: 8.347396158017726e-05)
Step 3601: (loss: 0.09617892652750015, loss_fm: 0.09470898658037186, loss_sc: 0.0014699391322210431, lr: 8.341212774022074e-05)
Step 3701: (loss: 0.10001184046268463, loss_fm: 0.0979173481464386, loss_sc: 0.002094489987939596, lr: 8.332857254258971e-05)
Step 3801: (loss: 0.1061432883143425, loss_fm: 0.10097885876893997, loss_sc: 0.0051644290797412395, lr: 8.322572785425181e-05)
Step 3901: (loss: 0.09731225669384003, loss_fm: 0.09595128148794174, loss_sc: 0.0013609735760837793, lr: 8.310577938588203e-05)
Step 4001: (loss: 0.10535106807947159, loss_fm: 0.10253839939832687, loss_sc: 0.002812671707943082, lr: 8.297069132225876e-05)
	->->-> Saved checkpoints.
	->->-> Sampled.
Step 4101: (loss: 0.09513572603464127, loss_fm: 0.09306340664625168, loss_sc: 0.002072317758575082, lr: 8.282222848658592e-05)
Step 4201: (loss: 0.10583556443452835, loss_fm: 0.10315964370965958, loss_sc: 0.0026759181637316942, lr: 8.266197628650813e-05)
Step 4301: (loss: 0.09512534737586975, loss_fm: 0.09432383626699448, loss_sc: 0.0008015082566998899, lr: 8.249135866457625e-05)
Step 4401: (loss: 0.09700144827365875, loss_fm: 0.09511426091194153, loss_sc: 0.0018871837528422475, lr: 8.231165425344873e-05)
Step 4501: (loss: 0.0996418371796608, loss_fm: 0.09812223166227341, loss_sc: 0.0015196085441857576, lr: 8.212401091592259e-05)
Step 4601: (loss: 0.10732425004243851, loss_fm: 0.1046275869011879, loss_sc: 0.0026966617442667484, lr: 8.192945883174264e-05)
Step 4701: (loss: 0.09547079354524612, loss_fm: 0.09374503791332245, loss_sc: 0.0017257591243833303, lr: 8.172892227683033e-05)
Step 4801: (loss: 0.09879457950592041, loss_fm: 0.09796269983053207, loss_sc: 0.000831883167847991, lr: 8.152323022591701e-05)
Step 4901: (loss: 0.09619332104921341, loss_fm: 0.0943293571472168, loss_sc: 0.0018639671616256237, lr: 8.131312589639183e-05)
Step 5001: (loss: 0.08426256477832794, loss_fm: 0.08363546431064606, loss_sc: 0.0006271005840972066, lr: 8.109927533933257e-05)
Step 5101: (loss: 0.09987813979387283, loss_fm: 0.09541613608598709, loss_sc: 0.004462003242224455, lr: 8.088227517304103e-05)
Step 5201: (loss: 0.09736718982458115, loss_fm: 0.0941198542714119, loss_sc: 0.0032473343890160322, lr: 8.066265954483297e-05)
Step 5301: (loss: 0.09837635606527328, loss_fm: 0.09549760818481445, loss_sc: 0.002878751140087843, lr: 8.044090639822681e-05)
Step 5401: (loss: 0.08435627073049545, loss_fm: 0.07919670641422272, loss_sc: 0.005159564781934023, lr: 8.021744311493704e-05)
Step 5501: (loss: 0.0910903811454773, loss_fm: 0.08935651183128357, loss_sc: 0.001733866985887289, lr: 7.999265159411905e-05)
Step 5601: (loss: 0.08631696552038193, loss_fm: 0.08356931060552597, loss_sc: 0.0027476560790091753, lr: 7.976687282505535e-05)
Step 5701: (loss: 0.09071145206689835, loss_fm: 0.08801593631505966, loss_sc: 0.002695514354854822, lr: 7.954041100384368e-05)
Step 5801: (loss: 0.08963054418563843, loss_fm: 0.08700556308031082, loss_sc: 0.0026249836664646864, lr: 7.931353723958662e-05)
Step 5901: (loss: 0.0929533839225769, loss_fm: 0.08955115079879761, loss_sc: 0.0034022312611341476, lr: 7.908649289102829e-05)
Step 6001: (loss: 0.08929530531167984, loss_fm: 0.08581274747848511, loss_sc: 0.0034825564362108707, lr: 7.8859492570489e-05)
	->->-> Saved checkpoints.
	->->-> Sampled.
Step 6101: (loss: 0.08590193092823029, loss_fm: 0.0847432091832161, loss_sc: 0.0011587211629375815, lr: 7.863272684826285e-05)
Step 6201: (loss: 0.09031794965267181, loss_fm: 0.08892618119716644, loss_sc: 0.0013917674077674747, lr: 7.84063646873305e-05)
Step 6301: (loss: 0.08511417359113693, loss_fm: 0.08352497220039368, loss_sc: 0.001589201157912612, lr: 7.818055563525524e-05)
Step 6401: (loss: 0.08909780532121658, loss_fm: 0.08561846613883972, loss_sc: 0.0034793405793607235, lr: 7.795543179744914e-05)
Step 6501: (loss: 0.08906204998493195, loss_fm: 0.0837637186050415, loss_sc: 0.005298334173858166, lr: 7.77311096135802e-05)
Step 6601: (loss: 0.09017861634492874, loss_fm: 0.08750470727682114, loss_sc: 0.0026739060413092375, lr: 7.750769145672036e-05)
Step 6701: (loss: 0.09589626640081406, loss_fm: 0.09378226846456528, loss_sc: 0.002113994676619768, lr: 7.728526707287829e-05)
Step 6801: (loss: 0.0898047611117363, loss_fm: 0.08862440288066864, loss_sc: 0.001180358580313623, lr: 7.706391487680206e-05)
Step 6901: (loss: 0.09733996540307999, loss_fm: 0.09673897176980972, loss_sc: 0.0006009910139255226, lr: 7.68437031183534e-05)
Step 7001: (loss: 0.08927380293607712, loss_fm: 0.0864902138710022, loss_sc: 0.0027835911605507135, lr: 7.662469093232998e-05)
Step 7101: (loss: 0.08972274512052536, loss_fm: 0.08813105523586273, loss_sc: 0.0015916910488158464, lr: 7.640692928333003e-05)
Step 7201: (loss: 0.09475910663604736, loss_fm: 0.0914238914847374, loss_sc: 0.003335215151309967, lr: 7.619046181609844e-05)
Step 7301: (loss: 0.08464070409536362, loss_fm: 0.08366695791482925, loss_sc: 0.0009737430955283344, lr: 7.597532562075493e-05)
Step 7401: (loss: 0.09594425559043884, loss_fm: 0.09211232513189316, loss_sc: 0.00383192696608603, lr: 7.576155192136895e-05)
Step 7501: (loss: 0.0898352712392807, loss_fm: 0.0872381255030632, loss_sc: 0.002597144106402993, lr: 7.554916669550399e-05)
Step 7601: (loss: 0.08158494532108307, loss_fm: 0.07841663062572479, loss_sc: 0.003168317023664713, lr: 7.533819123159576e-05)
Step 7701: (loss: 0.08581506460905075, loss_fm: 0.08370040357112885, loss_sc: 0.0021146645303815603, lr: 7.512864263034646e-05)
Step 7801: (loss: 0.08419406414031982, loss_fm: 0.08192064613103867, loss_sc: 0.0022734212689101696, lr: 7.492053425570187e-05)
Step 7901: (loss: 0.08931458741426468, loss_fm: 0.08853525668382645, loss_sc: 0.0007793274126015604, lr: 7.471387614042626e-05)
Step 8001: (loss: 0.08913234621286392, loss_fm: 0.08704305440187454, loss_sc: 0.0020892906468361616, lr: 7.450867535078987e-05)
	->->-> Saved checkpoints.
	->->-> Sampled.
Step 8101: (loss: 0.08963413536548615, loss_fm: 0.08294183760881424, loss_sc: 0.006692294497042894, lr: 7.430493631443721e-05)
Step 8201: (loss: 0.08628614991903305, loss_fm: 0.08449126034975052, loss_sc: 0.001794892712496221, lr: 7.41026611150987e-05)
Step 8301: (loss: 0.09354614466428757, loss_fm: 0.0892566367983818, loss_sc: 0.0042895106598734856, lr: 7.390184975744526e-05)
Step 8401: (loss: 0.08317834138870239, loss_fm: 0.08112832903862, loss_sc: 0.0020500088576227427, lr: 7.370250040505814e-05)
Step 8501: (loss: 0.08561398833990097, loss_fm: 0.08373918384313583, loss_sc: 0.0018748074071481824, lr: 7.35046095941902e-05)
Step 8601: (loss: 0.087305948138237, loss_fm: 0.0850086510181427, loss_sc: 0.0022972996812313795, lr: 7.330817242573017e-05)
Step 8701: (loss: 0.0833016037940979, loss_fm: 0.08165330439805984, loss_sc: 0.0016483021900057793, lr: 7.311318273754157e-05)
Step 8801: (loss: 0.08114086091518402, loss_fm: 0.0796053484082222, loss_sc: 0.00153551553376019, lr: 7.291963325913255e-05)
Step 8901: (loss: 0.09492620825767517, loss_fm: 0.09161026775836945, loss_sc: 0.0033159409649670124, lr: 7.272751575041908e-05)
Step 9001: (loss: 0.08564788103103638, loss_fm: 0.08364688605070114, loss_sc: 0.002000996610149741, lr: 7.253682112616832e-05)
Step 9101: (loss: 0.07970862835645676, loss_fm: 0.07872720807790756, loss_sc: 0.000981421791948378, lr: 7.234753956755256e-05)
Step 9201: (loss: 0.08247121423482895, loss_fm: 0.07785388082265854, loss_sc: 0.004617331083863974, lr: 7.215966062210125e-05)
Step 9301: (loss: 0.08026684820652008, loss_fm: 0.07448932528495789, loss_sc: 0.005777521524578333, lr: 7.197317329321146e-05)
Step 9401: (loss: 0.07972448319196701, loss_fm: 0.07901281863451004, loss_sc: 0.0007116658962331712, lr: 7.17880661202619e-05)
Step 9501: (loss: 0.09220067411661148, loss_fm: 0.09095732867717743, loss_sc: 0.0012433486990630627, lr: 7.160432725027182e-05)
Step 9601: (loss: 0.08822321146726608, loss_fm: 0.08679672330617905, loss_sc: 0.0014264901401475072, lr: 7.142194450195255e-05)
Step 9701: (loss: 0.08527442812919617, loss_fm: 0.08267457038164139, loss_sc: 0.002599855186417699, lr: 7.124090542291576e-05)
Step 9801: (loss: 0.09835927933454514, loss_fm: 0.09485950320959091, loss_sc: 0.003499773796647787, lr: 7.106119734072621e-05)
Step 9901: (loss: 0.08454275876283646, loss_fm: 0.08097103238105774, loss_sc: 0.003571723820641637, lr: 7.08828074084189e-05)
Step 10001: (loss: 0.08686976134777069, loss_fm: 0.0841982439160347, loss_sc: 0.0026715185958892107, lr: 7.07057226450383e-05)
	->->-> Saved checkpoints.
	->->-> Sampled.
Step 10101: (loss: 0.0891476646065712, loss_fm: 0.08522357791662216, loss_sc: 0.003924085292965174, lr: 7.052992997170311e-05)
Step 10201: (loss: 0.08648291230201721, loss_fm: 0.08596580475568771, loss_sc: 0.0005171069060452282, lr: 7.035541624364849e-05)
Step 10301: (loss: 0.08458153903484344, loss_fm: 0.0813160240650177, loss_sc: 0.003265511943027377, lr: 7.018216827865425e-05)
Step 10401: (loss: 0.08017467707395554, loss_fm: 0.07691290974617004, loss_sc: 0.0032617689575999975, lr: 7.00101728822258e-05)
Step 10501: (loss: 0.07865618169307709, loss_fm: 0.07765951007604599, loss_sc: 0.000996668473817408, lr: 6.98394168698586e-05)
Step 10601: (loss: 0.09608130902051926, loss_fm: 0.09231861680746078, loss_sc: 0.0037626929115504026, lr: 6.966988708668419e-05)
Step 10701: (loss: 0.09288821369409561, loss_fm: 0.08765224367380142, loss_sc: 0.005235970951616764, lr: 6.950157042476573e-05)
Step 10801: (loss: 0.09220980852842331, loss_fm: 0.08953649550676346, loss_sc: 0.0026733148843050003, lr: 6.933445383828432e-05)
Step 10901: (loss: 0.0842185989022255, loss_fm: 0.08077819645404816, loss_sc: 0.003440404310822487, lr: 6.916852435683397e-05)
Step 11001: (loss: 0.07889833301305771, loss_fm: 0.07697661966085434, loss_sc: 0.0019217164954170585, lr: 6.900376909702041e-05)
Step 11101: (loss: 0.08541750907897949, loss_fm: 0.08448049426078796, loss_sc: 0.0009370162733830512, lr: 6.884017527254023e-05)
Step 11201: (loss: 0.08786888420581818, loss_fm: 0.08588289469480515, loss_sc: 0.001985992072150111, lr: 6.867773020289855e-05)
Step 11301: (loss: 0.085061214864254, loss_fm: 0.08257957547903061, loss_sc: 0.0024816414806991816, lr: 6.851642132090852e-05)
Step 11401: (loss: 0.09371074289083481, loss_fm: 0.0872671976685524, loss_sc: 0.006443545687943697, lr: 6.835623617910028e-05)
Step 11501: (loss: 0.07758500427007675, loss_fm: 0.07438302040100098, loss_sc: 0.0032019848003983498, lr: 6.819716245515535e-05)
Step 11601: (loss: 0.08785383403301239, loss_fm: 0.08475624769926071, loss_sc: 0.0030975842382758856, lr: 6.80391879564707e-05)
Step 11701: (loss: 0.0969473272562027, loss_fm: 0.09378337115049362, loss_sc: 0.003163958201184869, lr: 6.788230062394512e-05)
Step 11801: (loss: 0.07799749076366425, loss_fm: 0.07666775584220886, loss_sc: 0.0013297318946570158, lr: 6.772648853507282e-05)
Step 11901: (loss: 0.08305079489946365, loss_fm: 0.08221596479415894, loss_sc: 0.0008348337723873556, lr: 6.757173990641943e-05)
Step 12001: (loss: 0.08884517103433609, loss_fm: 0.08230557292699814, loss_sc: 0.006539595313370228, lr: 6.741804309554841e-05)
	->->-> Saved checkpoints.
	->->-> Sampled.
Step 12101: (loss: 0.08149496465921402, loss_fm: 0.07750392705202103, loss_sc: 0.00399103993549943, lr: 6.726538660245902e-05)
Step 12201: (loss: 0.08268925547599792, loss_fm: 0.07976491004228592, loss_sc: 0.0029243463650345802, lr: 6.711375907059091e-05)
Step 12301: (loss: 0.0894860029220581, loss_fm: 0.0884433388710022, loss_sc: 0.001042666845023632, lr: 6.696314928744409e-05)
Step 12401: (loss: 0.08134841918945312, loss_fm: 0.08002761006355286, loss_sc: 0.0013208058662712574, lr: 6.681354618485938e-05)
Step 12501: (loss: 0.08096963167190552, loss_fm: 0.07922308892011642, loss_sc: 0.0017465458950027823, lr: 6.666493883899828e-05)
Step 12601: (loss: 0.07876116782426834, loss_fm: 0.0766095221042633, loss_sc: 0.0021516489796340466, lr: 6.65173164700586e-05)
Step 12701: (loss: 0.07614836096763611, loss_fm: 0.07474333792924881, loss_sc: 0.001405026181600988, lr: 6.637066844175745e-05)
Step 12801: (loss: 0.08499926328659058, loss_fm: 0.08217711746692657, loss_sc: 0.002822142094373703, lr: 6.622498426061052e-05)
Step 12901: (loss: 0.08137544244527817, loss_fm: 0.07861660420894623, loss_sc: 0.002758836606517434, lr: 6.608025357503326e-05)
Step 13001: (loss: 0.08683529496192932, loss_fm: 0.08345213532447815, loss_sc: 0.0033831624314188957, lr: 6.593646617428715e-05)
Step 13101: (loss: 0.08169817179441452, loss_fm: 0.07966120541095734, loss_sc: 0.0020369680132716894, lr: 6.579361198729158e-05)
Step 13201: (loss: 0.09042517095804214, loss_fm: 0.0860661044716835, loss_sc: 0.004359068349003792, lr: 6.565168108131992e-05)
Step 13301: (loss: 0.07576446235179901, loss_fm: 0.07476028800010681, loss_sc: 0.001004176214337349, lr: 6.551066366059622e-05)
Step 13401: (loss: 0.07811535894870758, loss_fm: 0.07675167173147202, loss_sc: 0.001363685354590416, lr: 6.537055006480746e-05)
Step 13501: (loss: 0.08777705579996109, loss_fm: 0.08194876462221146, loss_sc: 0.0058282893151044846, lr: 6.523133076754435e-05)
Step 13601: (loss: 0.08531714975833893, loss_fm: 0.08469323068857193, loss_sc: 0.0006239218055270612, lr: 6.509299637468266e-05)
Step 13701: (loss: 0.07677796483039856, loss_fm: 0.07399320602416992, loss_sc: 0.0027847588062286377, lr: 6.495553762271541e-05)
Step 13801: (loss: 0.08162665367126465, loss_fm: 0.08087167888879776, loss_sc: 0.0007549718720838428, lr: 6.481894537704526e-05)
Step 13901: (loss: 0.07780928164720535, loss_fm: 0.0770014151930809, loss_sc: 0.0008078654063865542, lr: 6.468321063024579e-05)
Step 14001: (loss: 0.0783928632736206, loss_fm: 0.07689341902732849, loss_sc: 0.0014994476223364472, lr: 6.454832450029829e-05)
	->->-> Saved checkpoints.
	->->-> Sampled.
Step 14101: (loss: 0.08767373114824295, loss_fm: 0.08707884699106216, loss_sc: 0.0005948846810497344, lr: 6.441427822881156e-05)
Step 14201: (loss: 0.08608434349298477, loss_fm: 0.085479237139225, loss_sc: 0.0006051037344150245, lr: 6.42810631792297e-05)
Step 14301: (loss: 0.08043566346168518, loss_fm: 0.07975200563669205, loss_sc: 0.0006836547399871051, lr: 6.414867083503361e-05)
Step 14401: (loss: 0.07401490211486816, loss_fm: 0.07227906584739685, loss_sc: 0.001735834637656808, lr: 6.401709279794029e-05)
Step 14501: (loss: 0.07911130785942078, loss_fm: 0.07774889469146729, loss_sc: 0.0013624115381389856, lr: 6.388632078610443e-05)
Step 14601: (loss: 0.08777479082345963, loss_fm: 0.08439454436302185, loss_sc: 0.0033802459947764874, lr: 6.375634663232507e-05)
Step 14701: (loss: 0.07872976362705231, loss_fm: 0.07806220650672913, loss_sc: 0.0006675536278635263, lr: 6.36271622822613e-05)
Step 14801: (loss: 0.08138968795537949, loss_fm: 0.07968859374523163, loss_sc: 0.0017010961892083287, lr: 6.349875979265888e-05)
Step 14901: (loss: 0.07925428450107574, loss_fm: 0.07748424261808395, loss_sc: 0.0017700452590361238, lr: 6.337113132959064e-05)
Step 15001: (loss: 0.08011426031589508, loss_fm: 0.07682891935110092, loss_sc: 0.0032853411976248026, lr: 6.32442691667123e-05)
Step 15101: (loss: 0.0856240764260292, loss_fm: 0.08161525428295135, loss_sc: 0.004008824005723, lr: 6.311816568353578e-05)
Step 15201: (loss: 0.08056594431400299, loss_fm: 0.0800677016377449, loss_sc: 0.0004982454120181501, lr: 6.299281336372125e-05)
Step 15301: (loss: 0.08184053748846054, loss_fm: 0.08102098107337952, loss_sc: 0.0008195547270588577, lr: 6.28682047933894e-05)
Step 15401: (loss: 0.07732231914997101, loss_fm: 0.07580634206533432, loss_sc: 0.0015159797621890903, lr: 6.274433265945462e-05)
Step 15501: (loss: 0.08784171938896179, loss_fm: 0.08644361793994904, loss_sc: 0.0013980986550450325, lr: 6.26211897479805e-05)
Step 15601: (loss: 0.08205249905586243, loss_fm: 0.07962360978126526, loss_sc: 0.0024288927670568228, lr: 6.249876894255793e-05)
Step 15701: (loss: 0.08257173746824265, loss_fm: 0.07823004573583603, loss_sc: 0.004341688472777605, lr: 6.237706322270665e-05)
Step 15801: (loss: 0.08695932477712631, loss_fm: 0.0820041373372078, loss_sc: 0.00495518883690238, lr: 6.225606566230061e-05)
Step 15901: (loss: 0.0832790657877922, loss_fm: 0.08191999047994614, loss_sc: 0.00135907216463238, lr: 6.213576942801742e-05)
Step 16001: (loss: 0.07839366793632507, loss_fm: 0.07607588917016983, loss_sc: 0.002317775273695588, lr: 6.201616777781246e-05)
	->->-> Saved checkpoints.
	->->-> Sampled.
Step 16101: (loss: 0.08286134153604507, loss_fm: 0.0804729238152504, loss_sc: 0.002388417487964034, lr: 6.18972540594174e-05)
Step 16201: (loss: 0.08360163867473602, loss_fm: 0.080665722489357, loss_sc: 0.00293591246008873, lr: 6.177902170886349e-05)
Step 16301: (loss: 0.08407346904277802, loss_fm: 0.08278629183769226, loss_sc: 0.0012871735962107778, lr: 6.166146424902952e-05)
Step 16401: (loss: 0.08107896149158478, loss_fm: 0.07728320360183716, loss_sc: 0.0037957560271024704, lr: 6.154457528821467e-05)
Step 16501: (loss: 0.07566945999860764, loss_fm: 0.07390342652797699, loss_sc: 0.0017660300945863128, lr: 6.142834851873561e-05)
Step 16601: (loss: 0.08327940851449966, loss_fm: 0.08259765803813934, loss_sc: 0.0006817473913542926, lr: 6.131277771554844e-05)
Step 16701: (loss: 0.07725425809621811, loss_fm: 0.07640348374843597, loss_sc: 0.0008507719030603766, lr: 6.119785673489463e-05)
Step 16801: (loss: 0.07710567116737366, loss_fm: 0.07531246542930603, loss_sc: 0.001793207018636167, lr: 6.108357951297122e-05)
Step 16901: (loss: 0.08110681921243668, loss_fm: 0.08018883317708969, loss_sc: 0.0009179896442219615, lr: 6.0969940064624795e-05)
Step 17001: (loss: 0.07695840299129486, loss_fm: 0.07467418909072876, loss_sc: 0.0022842141333967447, lr: 6.085693248206909e-05)
Step 17101: (loss: 0.07921164482831955, loss_fm: 0.07824042439460754, loss_sc: 0.0009712218889035285, lr: 6.0744550933625835e-05)
Step 17201: (loss: 0.08558978140354156, loss_fm: 0.08131210505962372, loss_sc: 0.004277675878256559, lr: 6.063278966248868e-05)
Step 17301: (loss: 0.08081500232219696, loss_fm: 0.07803717255592346, loss_sc: 0.0027778262738138437, lr: 6.052164298550974e-05)
Step 17401: (loss: 0.08215729147195816, loss_fm: 0.07978323101997375, loss_sc: 0.0023740618489682674, lr: 6.04111052920085e-05)
Step 17501: (loss: 0.08641497790813446, loss_fm: 0.08392047882080078, loss_sc: 0.00249449722468853, lr: 6.0301171042602774e-05)
Step 17601: (loss: 0.08290974050760269, loss_fm: 0.0766584500670433, loss_sc: 0.006251289043575525, lr: 6.01918347680613e-05)
Step 17701: (loss: 0.07809969037771225, loss_fm: 0.07730595767498016, loss_sc: 0.0007937290356494486, lr: 6.00830910681776e-05)
Step 17801: (loss: 0.08481728285551071, loss_fm: 0.08290090411901474, loss_sc: 0.0019163821125403047, lr: 5.997493461066492e-05)
Step 17901: (loss: 0.08040591329336166, loss_fm: 0.07892409712076187, loss_sc: 0.001481817220337689, lr: 5.986736013007151e-05)
Step 18001: (loss: 0.08609628677368164, loss_fm: 0.0844949409365654, loss_sc: 0.0016013479325920343, lr: 5.976036242671647e-05)
	->->-> Saved checkpoints.
	->->-> Sampled.
Step 18101: (loss: 0.07526370882987976, loss_fm: 0.07372424006462097, loss_sc: 0.0015394691145047545, lr: 5.9653936365645096e-05)
Step 18201: (loss: 0.08700092881917953, loss_fm: 0.08608025312423706, loss_sc: 0.0009206788381561637, lr: 5.954807687560394e-05)
Step 18301: (loss: 0.07787851989269257, loss_fm: 0.07735700905323029, loss_sc: 0.0005215115961618721, lr: 5.944277894803497e-05)
Step 18401: (loss: 0.076280377805233, loss_fm: 0.07430710643529892, loss_sc: 0.0019732690416276455, lr: 5.933803763608838e-05)
Step 18501: (loss: 0.07891864329576492, loss_fm: 0.07777558267116547, loss_sc: 0.0011430623708292842, lr: 5.923384805365391e-05)
Step 18601: (loss: 0.07929681241512299, loss_fm: 0.07762458175420761, loss_sc: 0.0016722272848710418, lr: 5.913020537441019e-05)
Step 18701: (loss: 0.07851005345582962, loss_fm: 0.07798925042152405, loss_sc: 0.0005208029178902507, lr: 5.9027104830891725e-05)
Step 18801: (loss: 0.0754433125257492, loss_fm: 0.07430621236562729, loss_sc: 0.0011370970169082284, lr: 5.892454171357328e-05)
Step 18901: (loss: 0.07926304638385773, loss_fm: 0.07851637899875641, loss_sc: 0.0007466681418009102, lr: 5.882251136997125e-05)
Step 19001: (loss: 0.08262471109628677, loss_fm: 0.07886150479316711, loss_sc: 0.003763203974813223, lr: 5.8721009203761657e-05)
Step 19101: (loss: 0.08141899108886719, loss_fm: 0.07888348400592804, loss_sc: 0.002535504987463355, lr: 5.86200306739145e-05)
Step 19201: (loss: 0.07483166456222534, loss_fm: 0.07416132837533951, loss_sc: 0.0006703336257487535, lr: 5.8519571293844066e-05)
Step 19301: (loss: 0.08577007800340652, loss_fm: 0.08250575512647629, loss_sc: 0.0032643245067447424, lr: 5.841962663057501e-05)
Step 19401: (loss: 0.08737722039222717, loss_fm: 0.08621780574321747, loss_sc: 0.0011594112729653716, lr: 5.832019230392359e-05)
Step 19501: (loss: 0.07571601867675781, loss_fm: 0.07493768632411957, loss_sc: 0.0007783308392390609, lr: 5.822126398569413e-05)
Step 19601: (loss: 0.08205648511648178, loss_fm: 0.07985226064920425, loss_sc: 0.002204224234446883, lr: 5.8122837398890095e-05)
